類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
大樓,UOAO003,吉貝村,澎湖縣白沙鄉吉貝村8號之7,1.0,144.0,
學校,UOAO0018,赤崁村,澎湖縣白沙鄉赤崁村294號,1.0,118.0,
學校,UOAO0017,赤崁村,澎湖縣白沙鄉赤崁村370號,1.0,301.0,
宮廟,UOAO0012,小門村,"23.651976779373697, 119.51806348636724",1.0,48.0,澎湖縣西嶼鄉小門村19號之1
學校,UOAO0016,外垵村,"23.570774373564713, 119.49794761134801",1.0,266.0,澎湖縣西嶼鄉外垵村29號之3
宮廟,UOAO0022,池西村,"23.599734102605634, 119.50511098909594",1.0,104.0,
金融機構,UOAO0020,池東村,"23.60270006747199, 119.51065639662205",1.0,229.0,
中華電信局,UOAO0021,池東村,"23.599663945806377, 119.51132708206313",1.0,112.0,澎湖縣西嶼鄉池東村211號之1
中華電信局,UOAO0019,池東村,"23.59962777636935, 119.51145902645922",1.0,146.0,澎湖縣西嶼鄉池東村211號
宮廟,UOAO0013,竹灣村,澎湖縣西嶼鄉竹灣村75號,1.0,200.0,
旅宿業,UNA00598,山水里,澎湖縣馬公市山水里110之6號,1.0,1239.0,
大樓,UNA00380,中央里,澎湖縣馬公市中央里中正路25號,1.0,78.0,
大樓,UNA00377,中央里,澎湖縣馬公市中央里中正路27號,1.0,90.0,
大樓,UNA00379,中央里,"23.56427224744538, 119.56476173361935",1.0,74.0,澎湖縣馬公市中央里中正路3巷1號
大樓,UNA00386,中央里,"23.564301749987457, 119.56477246245439",1.0,85.0,澎湖縣馬公市中央里正義街48號
大樓,UNA00383,中央里,澎湖縣馬公市中央里惠民一路12號,1.0,93.0,
大樓,UNA00384,中央里,澎湖縣馬公市中央里惠民一路13號,1.0,50.0,
大樓,UNA00381,中央里,澎湖縣馬公市中央里惠民路73號,1.0,50.0,
大樓,UNA00376,中央里,"澎湖縣馬公市中央里惠民路75號 ",1.0,50.0,
大樓,UNA00379,中央里,澎湖縣馬公市中央里惠安路17號,1.0,230.0,
衛生局,UNA00512,中興里,澎湖縣馬公市中興里中正路115號,1.0,420.0,
縣議會,UNA00524,中興里,"澎湖縣馬公市中興里中正路76號 ",1.0,200.0,
大樓,UNA00520,中興里,"澎湖縣馬公市中興里文化路57號  ",1.0,270.0,
旅宿業,UNA00516,中興里,澎湖縣馬公市中興里民生路10號,1.0,240.0,
玉山銀行,UNA00525,中興里,澎湖縣馬公市中興里民生路2號,1.0,100.0,
旅宿業,UNA00527,中興里,澎湖縣馬公市中興里民生路34號,1.0,846.0,
學校,UNA00572,中興里,澎湖縣馬公市中興里民生路38號,1.0,4856.0,
學校,UNA00528,中興里,澎湖縣馬公市中興里民生路38號,1.0,78.0,
學校,UNA00343,中興里,澎湖縣馬公市中興里民族路68號,1.0,489.0,
大樓,UNA00518,中興里,"澎湖縣馬公市中興里光復路33號 ",1.0,100.0,
大樓,UNA00523,中興里,"澎湖縣馬公市中興里忠孝路1之4號  ",1.0,120.0,
縣政府,UNA00519,中興里,澎湖縣馬公市中興里明遠路21號,1.0,374.0,
大樓,UNA00513,中興里,"澎湖縣馬公市中興里治平路15號  ",1.0,300.0,
稅捐處,UNA00514,中興里,"澎湖縣馬公市中興里治平路17之2號 ",1.0,50.0,
大樓,UNA00531,中興里,澎湖縣馬公市中興里治平路26號,1.0,557.0,
縣政府,UNA00532,中興里,澎湖縣馬公市中興里治平路32號,1.0,10484.0,
縣政府,UNA00515,中興里,澎湖縣馬公市中興里治平路32號,1.0,200.0,
