類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
新竹市士林市場,FMA00337,士林里,新竹市北區士林里東大路2段449號,1.0,"1000 ",
公寓,FMA00464,大同里,新竹市北區大同里中正路121號,1.0,"25 ",
新竹市政府,FMA00465,大同里,新竹市北區大同里中正路120號,1.0,33,
公寓,FMA00467,大同里,新竹市北區大同里中正路120號,1.0,"294 ",
新竹林區管理處,FMA00468,大同里,新竹市北區大同里中山路2號,1.0,60,
公寓,FMA00469,大同里,新竹市北區大同里世界街5號,1.0,"516 ",
中華電信營業處,FMA00480,大同里,新竹市北區大同里中正路105號,2.0,"2124 ",
郵局第六支局,FMA00499,大同里,新竹市北區大同里英明街10號,1.0,"118 ",
兆豐金控,FMA00513,大同里,新竹市北區大同里中正路135號,1.0,"692 ",
公寓,FMA00516,大同里,新竹市北區大同里中正路117號,1.0,"17 ",
第一商業銀行,FMA00518,大同里,新竹市北區大同里英明街7號,1.0,"828 ",
公寓,FMA00529,大同里,新竹市北區大同里中正路115號,1.0,"72 ",
公寓,FMA00531,大同里,新竹市北區大同里中正路109號,1.0,"36 ",
公寓,FMA00532,大同里,新竹市北區大同里中正路111號,1.0,"60 ",
新竹市議會,FMA00536,大同里,新竹市北區大同里中正路124號,1.0,400,
公寓,FMA00553,大同里,新竹市北區大同里大同路232號,1.0,"141 ",
新竹市政府,FMA00566,大同里,新竹市北區大同里中正路120號,1.0,"897 ",
第一信用合作社,FMA00579,大同里,新竹市北區大同里大同路130號,1.0,"113 ",
公寓,FMA00590,大同里,新竹市北區大同里北大路115號之1,1.0,"70 ",
公寓,FMA00591,大同里,新竹市北區大同里北大路191號,1.0,"54 ",
大樓,FMA00604,大同里,新竹市北區大同里世界街112巷4號,1.0,"376 ",
新竹市地方法院簡易庭,FMA00623,大同里,新竹市北區大同里中正路136號,1.0,357,
富邦銀行,FMA00632,大同里,新竹市北區大同里中正路141號,1.0,"672 ",
公寓,FMA00642,大同里,新竹市北區大同里北大路101號,1.0,"16 ",
公寓,FMA00651,大同里,新竹市北區大同里大同路230號,1.0,"21 ",
公寓,FMA00652,大同里,新竹市北區大同里大同路266號,1.0,"25 ",
公寓,FMA00659,大同里,新竹市北區大同里建興街7號,1.0,"30 ",
公寓,FMA00667,大同里,新竹市北區大同里建興街13號,1.0,"20 ",
公寓,FMA00695,大同里,新竹市北區大同里中正路125號,1.0,"78 ",
公寓,FMA00726,大同里,新竹市北區大同里北大路169號,1.0,"132 ",
公寓,FMA00787,大同里,新竹市北區大同里中正路105號,2.0,"1658 ",
大樓,FMA00799,大同里,新竹市北區大同里中正路137號,2.0,"2428 ",
公寓,FMA00445,中山里,新竹市北區中山里北門街6號,1.0,"268 ",
公寓,FMA00466,中山里,新竹市北區中山里北門街6號,1.0,"628 ",
公寓,FMA00520,中山里,新竹市北區中山里中山路47號,1.0,"28 ",
公寓,FMA00525,中山里,新竹市北區中山里中山路51號,1.0,"26 ",
公寓,FMA00578,中山里,新竹市北區中山里中山路48-50號,1.0,"157 ",
公寓,FMA00729,中山里,新竹市北區中山里中山路53號,1.0,"100 ",
公寓,FMA00749,中山里,新竹市北區中山里6鄰中山路66號,1.0,"265 ",
大樓,FMA00851,中山里,新竹市北區中山里中央路57巷20號,1.0,"385 ",
大樓,FMA00075,中央里,新竹市北區中央里西安街31巷13號,1.0,"21 ",
大樓,FMA00076,中央里,新竹市北區中央里西大路408號,1.0,"32 ",
公寓,FMA00077,中央里,新竹市北區中央里西大路432號,1.0,"26 ",
公寓,FMA00078,中央里,新竹市北區中央里西大路434號,1.0,"66 ",
公寓,FMA00079,中央里,新竹市北區中央里中山路111號,1.0,"32 ",
公寓,FMA00080,中央里,新竹市北區中央里西大路430號,1.0,"18 ",
公寓,FMA00081,中央里,新竹市北區中央里西安街40號,1.0,"37 ",
