類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)"
"管理局璞園宿舍
地下停車場",1.0,,臺南市新市區大順三路6號,2,3247,南科,,,,,
"管理局馨園宿舍
地下停車場",2.0,,臺南市新市區大順三路111-119號,2,5823,南科,,,,,
"管理局華園1、2期宿舍
地下停車場",3.0,,臺南市新市區大順五路1號,1,9940,南科,,,,,
"管理局華園3期宿舍
地下停車場",4.0,,臺南市新市區大順三路12號,2,17029,南科,,,,,
"社區中心
地下停車場",5.0,,臺南市新市區大順三路125號,2,5174,南科,,,,,
"南科實中
地下室",6.0,,臺南市新市區大順六路12巷6號,1,3435,南科,,,,,
"南科管理局
地下停車場",7.0,,臺南市新市區南科三路22號,1,24626,南科,,,,,
"南科警察隊
地下室",8.0,,臺南市新市區南科三路6號,1,1817,南科,,,,,
"管理局第1期標準廠房
地下停車場",9.0,,臺南市新市區南科三路1-17號,1,8969,南科,,,,,
"管理局第2期標準廠房
地下停車場",10.0,,臺南市新市區南科三路17-27號,1,14732,南科,,,,,
"管理局第3期標準廠房
地下停車場",11.0,,臺南市新市區環東路一段31巷2-30號,1,18366,南科,,,,,
"管理局第4期標準廠房
地下停車場",12.0,,臺南市新市區南科二路5-15號,1,5892,南科,,,,,
"管理局第5期標準廠房
地下停車場",13.0,,臺南市新市區創業路2-30號,1,18898,南科,,,,,
P1P2工廠A棟地下停車場,14.0,,臺南市新市區南科二路18號,1,4164,南科,,,,,
"P5P6 工廠OB棟地下停車場",15.0,,臺南市新市區南科三路57號,1,21207,南科,,,,,
防空避難室、停車空間,16.0,,臺南市新市區南科一路3號,1,6237,南科,,,,,
"辦公室(F6) 地下停車場",17.0,,臺南市善化區南科北路1號,2,13030,南科,,,,,
倉庫地下停車場,18.0,,臺南市善化區南科北路1號,1,6661,南科,,,,,
"辦公室(F14P1) 地下停車場",19.0,,臺南市善化區南科北路1號之1,2,19667,南科,,,,,
"辦公室(F14P7) 地下停車場",20.0,,臺南市善化區三抱竹路1號,1,8223,南科,,,,,
工廠地下停車場,21.0,,臺南市新市區大利一路9號,1,7484,南科,,,,,
工廠地下停車場,22.0,,臺南市善化區環東路二段28號,1,1587,南科,,,,,
停車空間,23.0,,臺南市新市區大業一路8號,2,5706,南科,,,,,
"G2停車空間(18P1 O棟)",24.0,,臺南市安定區蘇林里1鄰北園二路8號,2,26329,南科,,,,,
停車空間,25.0,,臺南市新市區大順七路92號,1,1879,南科,,,,,
C1停車空間,26.0,,台南市善化區頂街里5鄰西善一路9號,1,11794,南科,,,,,
"停車空間(F18P1 P棟廠商停車場)",27.0,,臺南市安定區蘇林里1鄰北園二路8號,1,4667,南科,,,,,
停車場(18P4辦公棟連通段),28.0,,臺南市安定區蘇林里1鄰北園二路8號,2,5830,南科,,,,,
廠房地下停車場,29.0,,臺南市善化區南關里9鄰環東路二段30號,3,21394,南科,,,,,
辦公室(F18P4)地下停車場,30.0,,臺南市安定區蘇林里1鄰北園二路8號,2,19839,南科,,,,,
"管理局宿舍
地下停車場",1.0,,高雄市路竹區後鄉路35號,1,19031,路科,,,,,
"管理局行政大樓
地下室",2.0,,高雄市路竹區路科五路23號,1,6280,路科,,,,,
"管理局第1期標準廠房
地下停車場",3.0,,高雄市路竹區路科五路82號,1,9076,路科,,,,,
"管理局第2期標準廠房
地下停車場",4.0,,高雄市路竹區路科二路55號,1,6935,路科,,,,,
辦公室(F18P4)地下停車場,1.0,,高雄市永安區興達路6號,1,500,興達,,,,,
大樓,1.0,,高雄市前鎮區南三路4號,2,429,高雄加工區,,,,,
大樓,2.0,,高雄市前鎮區南二路1號,2,"3,555",高雄加工區,,,,,
大樓,3.0,,高雄市前鎮區北一路18號,2,"4,081",高雄加工區,,,,,
大樓,4.0,,高雄市前鎮區南四路7號,1,"1,020",高雄加工區,,,,,
大樓,5.0,,高雄市前鎮區南六路5號,1,"4,153",高雄加工區,,,,,
大樓,6.0,,高雄市前鎮區南七路2號,1,445,高雄加工區,,,,,
大樓,7.0,,高雄市前鎮區中一路3-2號,1,120,高雄加工區,,,,,
大樓,1.0,,高雄市楠梓區經三路26號,1,"1,044",楠梓加工區,,,,,
大樓,2.0,,高雄市楠梓區開發路73號,1,"3,127",楠梓加工區,,,,,
大樓,3.0,,高雄市楠梓區經六路66號,1,"4,986",楠梓加工區,,,,,
大樓,4.0,,高雄市楠梓區內環北路107號,1,"9,270",楠梓加工區,,,,,
大樓,5.0,,高雄市楠梓區開發路73號,1,"3,199",楠梓加工區,,,,,
大樓,6.0,,高雄市楠梓區中央路30號,1,"7,541",楠梓加工區,,,,,
大樓,7.0,,高雄市楠梓區開發路37之1號,1,"4,395",楠梓加工區,,,,,
大樓,8.0,,高雄市楠梓區創意南路2號,1、2,"12,216",楠梓加工區,,,,,
大樓,9.0,,高雄市楠梓區加昌路600之11號,1,200,"    楠梓加工區",,,,,
巡巴轉運站後棟,1.0,,新竹科學園區新安路3-1號,1,123,竹科,,,,,
巡巴轉運站前棟,2.0,,新竹科學園區新安路3號,1,136,竹科,,,,,
科學園區管理局,3.0,,新竹科學園區新安路2號,1,562,竹科,,,,,
勞工育樂中心,4.0,,新竹科學園區新安路2-1號,1,1522,竹科,,,,,
新竹科學園郵局,5.0,,新竹科學園區工業東二路2-1號,1,151,竹科,,,,,
警察服務大樓,6.0,,新竹科學園區園區一路8號,1,2914,竹科,,,,,
台灣積體電路公司,7.0,,新竹科學園區園區三路121號,1,5255,竹科,,,,,
台灣光罩有限公司(汪其模),8.0,,新竹科學園區創新一路11號,3,1770,竹科,,,,,
漢磊科技股份有限公司,9.0,,新竹科學園區創新一路3號,1,1178,竹科,,,,,
原相科技股份有限公司,10.0,,新竹科學園區創新一路5號,1,2979,竹科,,,,,
科學工業園區管理局,11.0,,新竹科學園區工業東九路3-7號,1,2040,竹科,,,,,
凌陽科技股份有公司,12.0,,新竹科學園區創新一路19-1號,2,5036,竹科,,,,,
南茂科技股份有限公司,13.0,,新竹科學園區研發一路1號,2,4504,竹科,,,,,
均豪精密有限公司,14.0,,新竹科學園區創新一路5-1號,2,1944,竹科,,,,,
正崴精密工業公司,15.0,,新竹科學園區研發一路8號,2,2972,竹科,,,,,
乾坤企業有限公司,16.0,,新竹科學園區研發二路2號,3,3498,竹科,,,,,
台灣高科技公司,17.0,,新竹科學園區創新一路17號,1,309,竹科,,,,,
正崴精密工業公司,18.0,,新竹科學園區研發一路8號,1,521,竹科,,,,,
神達電腦股份有限公司,19.0,,新竹科學園區研發二路1號,1,752,竹科,,,,,
普生股份有限公司,20.0,,新竹科學園區創新一路6號,1,190,竹科,,,,,
乾坤科技股份有限公司,21.0,,新竹科學園區研發二路2號,1,2648,竹科,,,,,
義隆電子股份有限公司,22.0,,新竹科學園區創新一路12號,1,4048,竹科,,,,,
