建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
HONDA,小東里,雲林縣斗南鎮小東里延平路1段100號,"23.69448, 120.47885",1.0,191.0,斗南分局,288.0,,雲林縣斗南鎮小東里延平路1段100號
源欣興農畜食品公司,小東里,雲林縣斗南鎮小東里公論路12號,"23.69607, 120.47735",1.0,23.0,斗南分局,289.0,,雲林縣斗南鎮小東里公論路12號
德謙製鞋公司,小東里,雲林縣斗南鎮小東里德業路27號,"23.69515, 120.47573",1.0,233.0,斗南分局,290.0,,雲林縣斗南鎮小東里德業路27號
富邦MOMO公司,小東里,雲林縣斗南鎮小東里德業路16號,"23.69739, 120.47531",1.0,293.0,斗南分局,291.0,"第1處24人
第2處361人",雲林縣斗南鎮小東里德業路16號
妙一慈堂,小東里,雲林縣斗南鎮小東里德業路29號,"23.69739, 120.47531",1.0,385.0,斗南分局,292.0,,雲林縣斗南鎮小東里德業路29號
和記食品,小東里,雲林縣斗南鎮小東里公論路3號,"23.69631, 120.47706",1.0,41.0,斗南分局,293.0,,雲林縣斗南鎮小東里公論路3號
品祥企業,小東里,雲林縣斗南鎮小東里公論路2號,"23.69553, 120.47656",1.0,98.0,斗南分局,294.0,,雲林縣斗南鎮小東里公論路2號
長城電纜,小東里,雲林縣斗南鎮小東里公論路14號,"23.69578, 120.47777",1.0,56.0,斗南分局,295.0,,雲林縣斗南鎮小東里公論路14號
裕農（嘉升）冷凍,小東里,雲林縣斗南鎮小東里德業路33巷15號,"23.69739, 120.47531",1.0,51.0,斗南分局,296.0,,雲林縣斗南鎮小東里德業路33巷15號
黃氏製葯廠,小東里,雲林縣斗南鎮小東里大同路444巷11號,"23.68615, 120.47135",1.0,138.0,斗南分局,297.0,,雲林縣斗南鎮小東里大同路444巷11號
總發企業,小東里,雲林縣斗南鎮小東里公論路19號,"23.69664, 120.47862",1.0,536.0,斗南分局,298.0,,雲林縣斗南鎮小東里公論路19號
木豐企業,小東里,雲林縣斗南鎮小東里公論路21號,"23.69683, 120.47904",1.0,75.0,斗南分局,299.0,,雲林縣斗南鎮小東里公論路21號
金農貿昜公司,小東里,雲林縣斗南鎮小東里德業路36號,"23.69739, 120.47531",1.0,55.0,斗南分局,300.0,,雲林縣斗南鎮小東里德業路36號
裕農冷凍公司,小東里,雲林縣斗南鎮小東里公論路8號,"23.69645, 120.47788",1.0,71.0,斗南分局,301.0,,雲林縣斗南鎮小東里公論路8號
大榮貨運,小東里,雲林縣斗南鎮小東里公論路25號,"23.69626, 120.47972",1.0,170.0,斗南分局,302.0,,雲林縣斗南鎮小東里公論路25號
振裕機械,小東里,雲林縣斗南鎮小東里德業路28號,"23.6954,  120.47647",1.0,95.0,斗南分局,303.0,,雲林縣斗南鎮小東里德業路28號
三福食品,小東里,雲林縣斗南鎮小東里公論路17號,"23.6964,  120.47816",1.0,111.0,斗南分局,304.0,,雲林縣斗南鎮小東里公論路17號
NISSSAN匯聯汽車,小東里,雲林縣斗南鎮小東里大業路106號,"23.69349, 120.4759",1.0,264.0,斗南分局,305.0,,雲林縣斗南鎮小東里大業路106號
冠軍公司,小東里,雲林縣斗南鎮小東里德業路25巷8號,"23.69532, 120.47509",1.0,830.0,斗南分局,306.0,,雲林縣斗南鎮小東里德業路25巷8號
大德工商,小東里,雲林縣斗南鎮小東里大同路400號,"23.68528, 120.4732",1.0,1534.0,斗南分局,307.0,"工商教學大樓372人
行政大樓1162人",雲林縣斗南鎮小東里大同路400號
富盛發實業公司,小東里,雲林縣斗南鎮小東里德業路33巷16號,"23.69739, 120.47531",1.0,118.0,斗南分局,308.0,,雲林縣斗南鎮小東里德業路33巷16號
,中天里,雲林縣斗南鎮中天里中山路120號,"23.67636, 120.47878",1.0,206.0,斗南分局,309.0,,雲林縣斗南鎮中天里中山路120號
,中天里,雲林縣斗南鎮中天里順安街112號,"23.6752,  120.47791",1.0,127.0,斗南分局,310.0,,雲林縣斗南鎮中天里順安街112號
,中天里,雲林縣斗南鎮中天里順安街134號,"23.67598, 120.47791",1.0,40.0,斗南分局,311.0,,雲林縣斗南鎮中天里順安街134號
斗南高中,西岐里,雲林縣斗南鎮西岐里中山路212號,"23.67978, 120.47739",1.0,1971.0,斗南分局,312.0,"綜合大樓722人
明德樓746人
至善大樓503人",雲林縣斗南鎮西岐里中山路212號
大埤鄉公所,北和村,雲林縣大埤鄉北和村中山路8號,"23.64603, 120.43148",1.0,172.0,斗南分局,313.0,,雲林縣大埤鄉北和村中山路8號
順瀛建設,北銘里,雲林縣斗南鎮北銘里興北路1號,"23.68169, 120.48208",1.0,315.0,斗南分局,314.0,,雲林縣斗南鎮北銘里興北路1號
,北銘里,雲林縣斗南鎮北銘里新生1路19號,"23.68375, 120.48234",1.0,847.0,斗南分局,315.0,,雲林縣斗南鎮北銘里新生1路19號
永安旅社,北銘里,雲林縣斗南鎮北銘里永安街132號,"23.67788, 120.47968",1.0,123.0,斗南分局,316.0,,雲林縣斗南鎮北銘里永安街132號
福安醫院,北銘里,雲林縣斗南鎮北銘里永安街58號,"23.67898, 120.48251",1.0,1048.0,斗南分局,317.0,"福安醫院661
明修女會268人
斗南幼稚園119人",雲林縣斗南鎮北銘里永安街58號
雲林縣農會,北銘里,雲林縣斗南鎮北銘里永安街57號,"23.67848, 120.48255",1.0,1083.0,斗南分局,318.0,,雲林縣斗南鎮北銘里永安街57號
南都汽車斗南服務廠,北銘里,雲林縣斗南鎮北銘里延平路2段87號,"23.68171, 120.48144",1.0,103.0,斗南分局,319.0,,雲林縣斗南鎮北銘里延平路2段87號
,古坑村,雲林縣古坑鄉古坑村中山路5巷2號之1,"23.64475, 120.56213",1.0,66.0,斗南分局,320.0,,雲林縣古坑鄉古坑村中山路5巷2號之1
,古坑村,雲林縣古坑鄉古坑村中山路9號,"23.63893, 120.55951",1.0,64.0,斗南分局,321.0,,雲林縣古坑鄉古坑村中山路9號
古坑鄉公所,古坑村,雲林縣古坑鄉古坑村中山路40號,"23.64268, 120.5619",1.0,849.0,斗南分局,322.0,,雲林縣古坑鄉古坑村中山路40號
豐世紀股份有限公司,古坑村,雲林縣古坑鄉古坑村中山路3號,"23.64356, 120.56232",1.0,131.0,斗南分局,323.0,,雲林縣古坑鄉古坑村中山路3號
劍湖山遊樂世界,永光村,雲林縣古坑鄉永光村大湖口67號,"23.61585, 120.57944",1.0,6147.0,斗南分局,324.0,"王子大飯店5814人
兒童王國225人
遊樂世界108人",雲林縣古坑鄉永光村大湖口67號
古坑鄉公所,西平村,雲林縣古坑鄉西平村西平路64號,"23.64774, 120.55791",1.0,60.0,斗南分局,325.0,,雲林縣古坑鄉西平村西平路64號
古坑市場,西平村,雲林縣古坑鄉西平村中山路135號,"23.64496, 120.56201",1.0,72.0,斗南分局,326.0,,雲林縣古坑鄉西平村中山路135號
凱旋明宮大樓,西岐里,雲林縣斗南鎮西岐里六合街20號,"23.68109, 120.47316",1.0,1097.0,斗南分局,327.0,,雲林縣斗南鎮西岐里六合街20號
長興佳園大樓,西岐里,雲林縣斗南鎮西岐里六合街1號,"23.68078, 120.47028",1.0,649.0,斗南分局,328.0,,雲林縣斗南鎮西岐里六合街1號
皇賓大樓,西岐里,雲林縣斗南鎮西岐里建國2路149號,"23.6807,  120.46978",1.0,930.0,斗南分局,329.0,,雲林縣斗南鎮西岐里建國2路149號
,西岐里,雲林縣斗南鎮西岐里福德街135號,"23.67575, 120.48285",1.0,662.0,斗南分局,330.0,,雲林縣斗南鎮西岐里福德街135號
財亨及第大樓,西岐里,雲林縣斗南鎮西岐里永安街186號,"23.67724, 120.47817",1.0,1102.0,斗南分局,331.0,,雲林縣斗南鎮西岐里永安街186號
,西岐里,雲林縣斗南鎮西岐里大同路331號,"23.68183, 120.4733",1.0,118.0,斗南分局,332.0,,雲林縣斗南鎮西岐里大同路331號
麗景天下大樓,西岐里,雲林縣斗南鎮西岐里同安街66號,"23.67643, 120.47437",1.0,265.0,斗南分局,333.0,,雲林縣斗南鎮西岐里同安街66號
斗南圖書館,西岐里,雲林縣斗南鎮西岐里福德街151號,"23.67917, 120.4789",1.0,168.0,斗南分局,334.0,,雲林縣斗南鎮西岐里福德街151號
鎮立立體停車場(停一),西岐里,雲林縣斗南鎮西岐里延平路2段266號,"23.67837, 120.47834",1.0,1172.0,斗南分局,335.0,,雲林縣斗南鎮西岐里延平路2段266號
斗南鎮公所,西岐里,雲林縣斗南鎮西岐里文昌路200號,"23.6801,  120.47772",1.0,310.0,斗南分局,336.0,,雲林縣斗南鎮西岐里文昌路200號
凱司娛樂,西岐里,雲林縣斗南鎮西岐里大同路325號,"23.67752, 120.47588",1.0,205.0,斗南分局,337.0,,雲林縣斗南鎮西岐里大同路325號
國泰人壽大樓,西岐里,雲林縣斗南鎮西岐里延平路2段368號,"23.67745, 120.47611",1.0,523.0,斗南分局,338.0,,雲林縣斗南鎮西岐里延平路2段368號
煙洒公賣局倉庫,西岐里,雲林縣斗南鎮西岐里文昌路493號,"23.6801,  120.47772",1.0,205.0,斗南分局,339.0,,雲林縣斗南鎮西岐里文昌路493號
真耶穌教會斗南教會,西岐里,雲林縣斗南鎮西岐里建國2路127號,"23.68249, 120.46994",1.0,106.0,斗南分局,340.0,,雲林縣斗南鎮西岐里建國2路127號
