類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,WMA01215,力行里,臺北市中山區朱崙街30號,"25.04989,121.540836",B02,284.0,中山分局,
一般住宅,WMA01220,力行里,臺北市中山區朱崙街36號,"25.0499,121.541289",B01,826.0,中山分局,
一般住宅,WMA02756,力行里,臺北市中山區龍江路39-43號,"25.048898,121.540541",B01,328.0,中山分局,
一般住宅,WMA02763,力行里,臺北市中山區龍江路53號,"25.049467,121.540553",B01,354.0,中山分局,
一般住宅,WMA02903,力行里,臺北市中山區龍江路45巷13-17號,"25.049247,121.541073",B01,514.0,中山分局,
一般住宅,WMA02904,力行里,臺北市中山區龍江路45巷2號,"25.049132,121.541028",B01,63.0,中山分局,
一般住宅,WMA02905,力行里,臺北市中山區龍江路45巷28-32號,"25.049092,121.541617",B01,145.0,中山分局,
一般住宅,WMA02906,力行里,臺北市中山區龍江路46巷2號,"25.049102,121.540077",B01,215.0,中山分局,
一般住宅,WMA02907,力行里,臺北市中山區龍江路55巷10號,"25.04952,121.540938",B01,14.0,中山分局,
一般住宅,WMA02908,力行里,臺北市中山區龍江路55巷3-5號,"25.049638,121.540913",B01,130.0,中山分局,
一般住宅,WMA03044,力行里,臺北市中山區龍江路45巷2之2號,"25.049133,121.540889",B02,157.0,中山分局,
一般住宅,WMA03377,力行里,臺北市中山區龍江路46巷1-9號,"25.049354,121.540156",B01,2700.0,中山分局,
一般住宅,WMA01692,力行里,臺北市中山區長安東路二段179-189號,"25.048387,121.542462",B01,807.0,中山分局,
一般住宅,WMA01712,力行里,臺北市中山區長安東路二段201巷21號,"25.049522,121.543475",B01,42.0,中山分局,
一般住宅,WMA01713,力行里,臺北市中山區長安東路二段201巷23號,"25.049619,121.543476",B01,98.0,中山分局,
一般住宅,WMA02141,力行里,臺北市中山區復興北路36巷1-3號,"25.049247,121.543453",B01,166.0,中山分局,
一般住宅,WMA02612,力行里,臺北市中山區長安東路二段173-177號,"25.04839,121.542272",B02,630.0,中山分局,
