編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,三鹿里,臺中市沙鹿區自強路196號,1.0,45.0,清水分局,"120.569340 ","24.200490 "
2.0,三鹿里,臺中市沙鹿區向上路七段12號,1.0,1207.0,清水分局,"120.566220 ","24.204870 "
3.0,三鹿里,臺中市沙鹿區國昌一街48號,1.0,141.0,清水分局,"120.567670 ","24.198777 "
4.0,三鹿里,臺中市沙鹿區國昌一街46號,1.0,141.0,清水分局,"120.567830 ","24.198772 "
5.0,三鹿里,臺中市沙鹿區國昌一街19號,1.0,211.0,清水分局,"120.568490 ","24.198070 "
6.0,三鹿里,臺中市沙鹿區中樂街107之3,1.0,63.0,清水分局,"120.568400 ","24.198933 "
7.0,三鹿里,臺中市沙鹿區保寧路22巷1號,1.0,2273.0,清水分局,"120.564786 ","24.206742 "
8.0,三鹿里,臺中市沙鹿區保安路57號,1.0,683.0,清水分局,"120.566738 ","24.206759 "
9.0,三鹿里,臺中市沙鹿區向上路六段745號,1.0,399.0,清水分局,"120.569641 ","24.200882 "
10.0,三鹿里,臺中市沙鹿區向上路六段733號,1.0,594.0,清水分局,"120.569840 ","24.200609 "
11.0,三鹿里,臺中市沙鹿區保安路1號,1.0,1572.0,清水分局,"120.567515 ","24.212918 "
12.0,三鹿里,臺中市沙鹿區保安路55巷23號,1.0,1388.0,清水分局,"120.566690 ","24.206730 "
13.0,三鹿里,臺中市沙鹿區自立路201號,1.0,2531.0,清水分局,"120.566160 ","24.199988 "
14.0,三鹿里,臺中市沙鹿區保寧路8號,1.0,1863.0,清水分局,"120.564310 ","24.206650 "
15.0,下湳里,臺中市清水區菁埔路370號,1.0,37.0,清水分局,"120.588311 ","24.294724 "
16.0,下湳里,臺中市清水區菁埔路204號,1.0,134.0,清水分局,"120.582253 ","24.286244 "
17.0,下湳里,臺中市清水區中山路539號之2,1.0,181.0,清水分局,"120.583593 ","24.284921 "
18.0,下湳里,臺中市清水區中山路545號,1.0,303.0,清水分局,"120.584826 ","24.287252 "
19.0,下湳里,臺中市清水區菁埔路206號,1.0,98.0,清水分局,"120.582027 ","24.287481 "
20.0,下湳里,臺中市清水區中山路545號之9,1.0,35.0,清水分局,"120.584848 ","24.287194 "
21.0,下湳里,臺中市清水區中山路555號之2,1.0,242.0,清水分局,"120.588025 ","24.292817 "
22.0,下湳里,臺中市清水區菁埔路192號,1.0,310.0,清水分局,"120.580938 ","24.285131 "
23.0,下湳里,臺中市清水區高美路41號,1.0,23.0,清水分局,"120.576230 ","24.276804 "
24.0,下湳里,臺中市清水區中山路396號之23,1.0,32.0,清水分局,"120.578654 ","24.276123 "
25.0,下湳里,臺中市清水區中山路396號之29,1.0,28.0,清水分局,"120.578654 ","24.276132 "
26.0,下湳里,臺中市清水區中山路396號之20,1.0,38.0,清水分局,"120.578718 ","24.276171 "
27.0,下湳里,臺中市清水區五權東路7號,1.0,54.0,清水分局,"120.576664 ","24.275635 "
28.0,下湳里,臺中市清水區五權東路9號,1.0,73.0,清水分局,"120.576656 ","24.275665 "
