類別,電腦編號,里別,座落,緯度,經度,新計算容量(值),轄管分局
一般住宅,FNA00003,復興里,"新竹市東區復興里自由路101號 B1",24.8138012,120.9800214,172.0,第二分局
一般住宅,FNA00004,東山里,新竹市東區東山里8鄰東山街39巷9號,24.7962671,120.9791649,407.0,第二分局
一般住宅,FNA00005,東山里,新竹市東區東山里21鄰東山街77號,24.7974469,120.9787479,230.0,第二分局
公有建築物,FNA00006,綠水里,新竹市東區綠水里13鄰園後街25號,24.8000634,120.9851876,708.0,第二分局
公有建築物,FNA00010,綠水里,新竹市東區綠水里10鄰光復路二段321號,24.8004074,120.9883064,12.0,第二分局
一般住宅,FNA00013,復中里,新竹市東區復中里民生路198號,24.8115214,120.9760961,30.0,第二分局
供公眾使用建築物,FNA00017,錦華里,新竹市東區錦華里2鄰世界街10號,24.8106581,120.9721101,201.0,第二分局
一般住宅,FNA00021,復中里,新竹市東區復中里15鄰民生路222巷5號,24.8122291,120.9760714,24.0,第二分局
一般住宅,FNA00022,文華里,新竹市東區文華里北大路72巷9-11號,24.8117698,120.971089,73.0,第二分局
一般住宅,FNA00025,文華里,新竹市東區文華里北大路14號,24.8134441,120.9739356,71.0,第二分局
一般住宅,FNA00027,復興里,新竹市東區復興里經國路一段482號,24.814738,120.9779709,36.0,第二分局
一般住宅,FNA00031,文華里,新竹市東區文華里北大路88號,24.8116367,120.9707718,52.0,第二分局
一般住宅,FNA00034,復興里,新竹市東區復興里自由路71號,24.813345,120.980461,480.0,第二分局
一般住宅,FNA00035,文華里,新竹市東區文華里經國路一段654號,24.8145088,120.9744711,105.0,第二分局
一般住宅,FNA00046,復興里,新竹市東區復興里自由路94號,24.8139961,120.980393,43.0,第二分局
一般住宅,FNA00047,文華里,新竹市東區文華里北大路92巷8號,24.8118285,120.970368,43.0,第二分局
一般住宅,FNA00048,文華里,新竹市東區文華里北大路92巷12號,24.8119283,120.9701468,40.0,第二分局
一般住宅,FNA00053,文華里,新竹市東區文華里北大路92巷43弄2號,24.8129323,120.9691474,152.0,第二分局
供公眾使用建築物,FNA00057,復中里,新竹市東區復中里民權路220號,24.8124043,120.971846,31.0,第二分局
一般住宅,FNA00058,文華里,新竹市東區文華里民權路248號,24.8131197,120.9712358,83.0,第二分局
一般住宅,FNA00059,復中里,新竹市東區復中里中央路188號,24.8086997,120.9741142,28.0,第二分局
一般住宅,FNA00060,復中里,新竹市東區復中里民權路94號,24.8075612,120.9755633,36.0,第二分局
一般住宅,FNA00063,東園里,新竹市東區東園里11鄰中華路一段384巷2號,24.8127592,120.9855723,111.0,第二分局
一般住宅,FNA00064,東園里,新竹市東區東園里11鄰中華路一段384巷2號,24.8127592,120.9855723,111.0,第二分局
一般住宅,FNA00065,復中里,新竹市東區復中里中央路186號,24.8084569,120.9741309,31.0,第二分局
供公眾使用建築物,FNA00067,錦華里,新竹市東區錦華里北大路61號,24.811149,120.9728262,230.0,第二分局
供公眾使用建築物,FNA00068,文華里,"新竹市東區文華里5鄰北大路70號 B1",24.8121344,120.9716089,556.0,第二分局
一般住宅,FNA00069,文華里,新竹市東區文華里北大路84巷2號,24.8118075,120.9707585,47.0,第二分局
一般住宅,FNA00071,文華里,新竹市東區文華里民權路262號,24.8134713,120.9711663,24.0,第二分局
一般住宅,FNA00073,文華里,新竹市東區文華里民權路252號,24.8132675,120.9713079,124.0,第二分局
一般住宅,FNA00074,文華里,新竹市東區文華里民權路258號,24.813391,120.97123,24.0,第二分局
