建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
,仁安里,雲林縣北港鎮仁安里文化路91號,"23.57072, 120.30221",1.0,238.0,北港分局,396.0,,雲林縣北港鎮仁安里文化路91號
福禎建設,仁安里,雲林縣北港鎮仁安里文化路55號,"23.56916, 120.30143",1.0,510.0,北港分局,397.0,,雲林縣北港鎮仁安里文化路55號
北港朝天宮（行政大樓）,仁和里,雲林縣北港鎮仁和里仁和路1號,"23.56862, 120.30473",1.0,461.0,北港分局,398.0,,雲林縣北港鎮仁和里仁和路1號
水林鄉立圖書館,水北村,雲林縣水林鄉水北村文化路6號,"23.57358, 120.24596",1.0,161.0,北港分局,399.0,,雲林縣水林鄉水北村文化路6號
元發混凝土有限公司,水南村,雲林縣水林鄉水南村外環路858號,"23.57232, 120.24484",1.0,91.0,北港分局,400.0,,雲林縣水林鄉水南村外環路858號
,光民里,雲林縣北港鎮光民里中秋路10號,"23.56585, 120.30672",1.0,9.0,北港分局,401.0,,雲林縣北港鎮光民里中秋路10號
北港鎮公所（文化大樓）,光民里,651雲林縣北港鎮中山路198號,"23.5682,  120.30503",1.0,3015.0,北港分局,402.0,,651雲林縣北港鎮中山路198號
北港朝天宮（中秋大樓）,光民里,雲林縣北港鎮光民里中秋路50號,"23.5668,  120.30649",1.0,297.0,北港分局,403.0,,雲林縣北港鎮光民里中秋路50號
北港朝天宮（厚生大樓）,光民里,雲林縣北港鎮厚生路15號,"23.56762, 120.30633",1.0,297.0,北港分局,404.0,,雲林縣北港鎮厚生路15號
,光復里,雲林縣北港鎮光復里大同路345號,"23.57321, 120.297",1.0,5696.0,北港分局,405.0,大同路與永生街口,雲林縣北港鎮光復里大同路345號
芳源號企業有限公司,光復里,雲林縣北港鎮光復里光復四路14號,"23.57211, 120.2985",1.0,176.0,北港分局,406.0,,雲林縣北港鎮光復里光復四路14號
家樂福,光復里,雲林縣北港鎮光復里華南路101號,"23.57064, 120.29938",1.0,4371.0,北港分局,407.0,,雲林縣北港鎮光復里華南路101號
全家便利商店(北港順風店),西勢里,雲林縣北港鎮西勢里中正路95號,"23.56954, 120.30194",1.0,228.0,北港分局,408.0,,雲林縣北港鎮西勢里中正路95號
明旭企業有限公司,西勢里,雲林縣北港鎮西勢里文化路37號,"23.56783, 120.30082",1.0,6072.0,北港分局,409.0,,雲林縣北港鎮西勢里文化路37號
魏天厚(日日米窩),西勢里,雲林縣北港鎮西勢里義民路63號,"23.56923, 120.30263",1.0,20.0,北港分局,410.0,,雲林縣北港鎮西勢里義民路63號
金山旅社,西勢里,雲林縣北港鎮西勢里文化路48號,"23.5690371,120.301682",1.0,13.0,北港分局,411.0,民主路102號,雲林縣北港鎮西勢里文化路48號
朝聖酒店,東華里,雲林縣北港鎮東華里中山路146號,"23.56859, 120.30472",1.0,2380.0,北港分局,412.0,,雲林縣北港鎮東華里中山路146號
,東陽里,雲林縣北港鎮東陽里民生路28號,"23.56456, 120.30461",1.0,55.0,北港分局,413.0,,雲林縣北港鎮東陽里民生路28號
