類別,A01-04-004,電腦編號:,電腦編號,地址,地下樓層數,可容納人數,轄管分局,備註
公寓,,A0103003,,桃園市龜山區龜山里萬壽路二段662號,1,1689人,龜山分局,
大樓,,A0203008,3553.0,桃園市龜山區龜山里萬壽路二段628巷19號,2,1284人,龜山分局,
大樓,,A0204009,3554.0,桃園市龜山區萬壽路二段606巷1弄22號,1,960人,龜山分局,
大樓,,A0205010,3555.0,桃園市龜山區萬壽路二段606巷1弄7號,1,234人,龜山分局,
大樓,,A0206011,3556.0,桃園市龜山區龜山里萬壽路二段606巷1弄22號,1,1883人,龜山分局,
公寓,,A2101110,3650.0,桃園市龜山區龜山里長壽路250號,1,75人,龜山分局,
公寓,,A0401013,3558.0,桃園市龜山區新嶺里萬壽路一段1671號,1,813人,龜山分局,
公寓,,A0503016,3561.0,桃園市龜山區楓樹里長壽路86號,1,4868人,龜山分局,
大樓,,A0504017,3562.0,桃園市龜山區楓樹里光榮路11巷18號,1,622人,龜山分局,
公寓,,A0709027,3572.0,桃園市龜山區海萍路1號,1,280人,龜山分局,
公寓,,A0716034,3579.0,桃園市龜山區海萍路10號,1,65人,龜山分局,
公寓,,A0717035,3580.0,桃園市龜山區海萍路6巷7號,1,200人,龜山分局,
公寓,,A0720038,3583.0,桃園市龜山區福源里湖山街180巷79號,1,40人,龜山分局,
大樓,,A08-01-039,3584.0,桃園市龜山區陸光里同心一路2-1號,1,6385人,龜山分局,
大樓,,A09-01-040,3585.0,桃園市龜山區陸光里陸光路85號,2,4684人,龜山分局,
大樓,,A09-02-041,3586.0,桃園市龜山區陸光里陸光路81號,2,2242人,龜山分局,
公寓,,A1001042,3587.0,桃園市龜山區嶺頂里萬壽路二段472號,1,298人,龜山分局,
公寓,,A1017058,3603.0,桃園市龜山區嶺頂里茶專路36號,1,108人,龜山分局,
公寓,,A1021062,3607.0,桃園市龜山區嶺頂里萬壽路二段357號,1,681人,龜山分局,
公寓,,A1025066,3611.0,桃園市龜山區兔坑里茶專路22號,1,201人,龜山分局,
公寓,,A1028069,3614.0,桃園市龜山區嶺頂里茶專路40號,1,190人,龜山分局,
大樓,,A1030071,3616.0,桃園市龜山區嶺頂里振興路46號,1,2006人,龜山分局,
公寓,,A1032073,3618.0,桃園市龜山區嶺頂里茶專路12號,1,766人,龜山分局,
大樓,,A1304081,3626.0,桃園市龜山區大同里大同路170號,1,992人,龜山分局,
公寓,,A1305082,3627.0,桃園市龜山區大同里大同路313巷12弄1號,1,1146人,龜山分局,
大樓,,A1306083,3628.0,桃園市龜山區大同里明成街19號,1,1037人,龜山分局,
公寓,,A1402085,3630.0,桃園市龜山區大同里大同路346號,1,100人,龜山分局,
公寓,,A1403086,3631.0,桃園市龜山區大同里大同路330.332號,1,157人,龜山分局,
公寓,,A1409092,3632.0,桃園市龜山區大同里明德路240巷6號,1,202人,龜山分局,
公寓,,A1413096,3636.0,桃園市龜山區大同里德明路77巷67號,1,211人,龜山分局,
公寓,,A1414097,3637.0,桃園市龜山區大同里德明路77巷71號,1,257人,龜山分局,
公寓,,A1415098,3638.0,桃園市龜山區大同里德明路130號,1,406人,龜山分局,
公寓,,A1416099,3639.0,桃園市龜山區大同里德明路89巷81號,1,96人,龜山分局,
公寓,,A1417100,3640.0,桃園市龜山區大同里大同路238號,2,2354人,龜山分局,
公寓,,A1418101,3641.0,桃園市龜山區大同里德明路2段120巷1號,1,294人,龜山分局,
公寓,,A1501102,3642.0,桃園市龜山區嶺頂里萬壽路一段1699號,1,214人,龜山分局,
公寓,,A1502103,3643.0,桃園市龜山區嶺頂里東萬壽路26號,1,2326人,龜山分局,
大樓,,A1701104,3644.0,桃園市龜山區新路里明德路20號,3,810人,龜山分局,
公寓,,A1802155,3647.0,桃園市龜山區兔坑里茶專二街92巷17號,1,1088人,龜山分局,
公寓,,A1804108,3648.0,桃園市龜山區兔坑里大同路1176號,1,141人,龜山分局,
公寓,,A1805109,3649.0,桃園市龜山區兔坑里大棟山路111號,1,73人,龜山分局,
公寓,,A2102111,3651.0,桃園市龜山區龜山里自強西路57號,1,403人,龜山分局,
公寓,,A2301113,3653.0,桃園市龜山區兔坑里茶專一街126號,1,221人,龜山分局,
公寓,,A2303115,3655.0,桃園市龜山區兔坑里茶專路196巷1號,1,2562人,龜山分局,
公寓,,A2401116,3656.0,桃園市龜山區兔坑里幸美11街13號,1,2689人,龜山分局,
公寓,,A2601117,3657.0,桃園市龜山區新嶺里優美街7巷4號,1,3680人,龜山分局,
大樓,,A2602118,3658.0,桃園市龜山區新嶺里優美街54巷2號,1,10054人,龜山分局,
公寓,,A2703121,3661.0,桃園市龜山區大同里自強東路213號,1,297人,龜山分局,
公寓,,A2705123,3662.0,桃園市龜山區大同里大同路104巷11號,2,640人,龜山分局,
大樓,,A1104125,3664.0,桃園市龜山區新路里中和南路189號,1,693人,龜山分局,
公寓,,A2103128,3665.0,桃園市龜山區龜山里長壽路295號,1,987人,龜山分局,
大樓,,A2707130,3666.0,桃園市龜山區大同里萬壽路二段583號,2,3288人,龜山分局,
大樓,,A2708131,3667.0,桃園市龜山區大同里萬壽路二段653巷3號,1,2021人,龜山分局,
大樓,,A2709132,3668.0,桃園市龜山區大同里萬壽路二段667號,2,4210人,龜山分局,
大樓,,A2710133,3669.0,桃園市龜山區大同里萬壽路二段601巷1弄2號,2,2324人,龜山分局,
公寓,,A1804134,3670.0,桃園市龜山區大同里明成街200號,1,2157人,龜山分局,
公寓,,A2711135,3671.0,桃園市龜山區大同里萬壽路二段601巷8號,1,199人,龜山分局,
公寓,,A1308136,3672.0,桃園市龜山區大同里明成街218號,1,2157人,龜山分局,
公寓,,A2104137,3673.0,桃園市龜山區龜山里自強西路202號,1,406人,龜山分局,
公寓,,A1309138,3674.0,桃園市龜山區大同里大同路253號,2,1972人,龜山分局,
大樓,,A0207139,3675.0,桃園市龜山區新嶺里萬壽路二段588號,1,1832人,龜山分局,
大樓,,A1806140,3676.0,桃園市龜山區兔坑里大棟山路111號,1,1034人,龜山分局,
大樓,,A0610141,3677.0,桃園市龜山區新嶺里光峰路212-1號,1,3516人,龜山分局,
大樓,,A0506142,3678.0,桃園市龜山楓樹里光榮路77號,2,2450人,龜山分局,
公寓,,A2202143,3679.0,桃園市龜山區龜山里大同路23號,1,33049人,龜山分局,
大樓,,A1603144,3680.0,桃園市龜山區楓樹里光峰路285號,1,1701人,龜山分局,
公寓,,A2203145,3681.0,桃園市龜山區龜山里大同路23號,1,3316人,龜山分局,
大樓,,A2204146,3682.0,桃園市龜山區龜山里長壽路269巷12號,3,1699人,龜山分局,
大樓,,A2205147,3683.0,桃園市龜山區龜山里自強東路226號,3,805人,龜山分局,
大樓,,A2206148,3684.0,桃園市龜山區龜山里長壽路269巷13號5樓,3,1699人,龜山分局,
公寓,,A2304149,3685.0,桃園市龜山區嶺頂里茶磚路4號,1,1420人,龜山分局,
公寓,,A2305150,3686.0,桃園市龜山區龜山里萬壽路二段890號,1,38人,龜山分局,
大樓,,A2303151,3687.0,桃園市龜山區楓樹里楓樹三街86號二樓,3,1608人,龜山分局,
