類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
公寓,WTA00069,大湖里,臺北市內湖區大湖山莊街219巷52號,"25.0897,121.599975",2,"866 ",
公寓,WTA00071,大湖里,臺北市內湖區大湖山莊街219巷8號,"25.088512,121.59945",1,"304 ",
公寓,WTA00076,大湖里,臺北市內湖區大湖山莊街219巷10號,"25.088598,121.59945",1,"1425 ",
公寓,WTA00077,大湖里,臺北市內湖區大湖山莊街219巷12號,"25.088632,121.599463",1,"258 ",
公寓,WTA00078,大湖里,臺北市內湖區大湖山莊街219巷36號,"25.089285,121.599699",1,"193 ",
大樓,WTA02342,大湖里,臺北市內湖區大湖山莊街176巷18號,"25.087764,121.599116",3,"1661 ",
公寓,WTA00012,大湖里,臺北市內湖區大湖山莊街179號,"25.088298,121.601057",1,"170 ",
公寓,WTA00013,大湖里,臺北市內湖區大湖山莊街183號,"25.088349,121.600924",1,"241 ",
公寓,WTA00015,大湖里,臺北市內湖區大湖山莊街193號,"25.088362,121.600601",1,"1044 ",
公寓,WTA00017,大湖里,臺北市內湖區大湖山莊街211號,"25.088332,121.600108",1,"397 ",
公寓,WTA00018,大湖里,臺北市內湖區大湖山莊街215號,"25.088419,121.599988",1,"233 ",
公寓,WTA00030,大湖里,臺北市內湖區大湖山莊街177巷17號,"25.088182,121.602166",1,"444 ",
公寓,WTA00031,大湖里,臺北市內湖區大湖山莊街177巷9號,"25.088172,121.601939",2,"152 ",
公寓,WTA00068,大湖里,臺北市內湖區大湖山莊街219巷5號,"25.088394,121.599538",1,"108 ",
公寓,WTA00070,大湖里,臺北市內湖區大湖山莊街219巷7號,"25.088466,121.599625",1,"772 ",
公寓,WTA00072,大湖里,臺北市內湖區大湖山莊街219巷33號,"25.089348,121.599986",1,"170 ",
公寓,WTA00073,大湖里,臺北市內湖區大湖山莊街219巷35號,"25.089424,121.600064",1,"264 ",
公寓,WTA00074,大湖里,臺北市內湖區大湖山莊街219巷39號,"25.089566,121.600133",1,"228 ",
公寓,WTA00075,大湖里,臺北市內湖區大湖山莊街219巷53號,"25.089918,121.60032",1,"153 ",
公寓,WTA00079,大湖里,臺北市內湖區大湖山莊街219巷31弄1號,"25.088974,121.600091",1,"400 ",
公寓,WTA00080,大湖里,臺北市內湖區大湖山莊街219巷31弄35號,"25.088743,121.600785",2,"836 ",
公寓,WTA00081,大湖里,臺北市內湖區大湖山莊街219巷31弄6號,"25.089226,121.599948",1,"162 ",
大樓,WTA00006,大湖里,臺北市內湖區大湖山莊街206號,"25.088242,121.598536",2,"2564 ",
公寓,WTA00007,大湖里,臺北市內湖區大湖山莊街153號,"25.087019,121.601553",1,"241 ",
公寓,WTA00010,大湖里,臺北市內湖區大湖山莊街159號,"25.087215,121.601532",1,"150 ",
公寓,WTA00011,大湖里,臺北市內湖區大湖山莊街161號,"25.087319,121.60153",1,"253 ",
公寓,WTA00014,大湖里,臺北市內湖區大湖山莊街150號,"25.086288,121.601485",1,"1129 ",
大樓,WTA00016,大湖里,臺北市內湖區大湖山莊街178號,"25.08788,121.5992",2,"1945 ",
公寓,WTA00025,大湖里,臺北市內湖區大湖山莊街169巷1號,"25.087502,121.601785",1,"972 ",
公寓,WTA00026,大湖里,臺北市內湖區大湖山莊街169巷14號,"25.087827,121.602085",2,"438 ",
公寓,WTA00027,大湖里,臺北市內湖區大湖山莊街169巷20號,"25.087796,121.602356",1,"121 ",
公寓,WTA00028,大湖里,臺北市內湖區大湖山莊街169巷6號,"25.087676,121.601636",1,"152 ",
公寓,WTA00042,大湖里,臺北市內湖區大湖街131巷25號,"25.085718,121.600897",1,"1722 ",
公寓,WTA00001,大湖里,臺北市內湖區大湖山莊街119號,"25.086144,121.601716",1,"184 ",
公寓,WTA00002,大湖里,臺北市內湖區大湖山莊街35號,"25.084405,121.603513",1,"164 ",
公寓,WTA00003,大湖里,臺北市內湖區大湖山莊街56號,"25.085781,121.603855",2,"886 ",
公寓,WTA00004,大湖里,臺北市內湖區大湖山莊街62號,"25.086051,121.604101",1,"217 ",
