電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註,機關,所在縣市
15,大恩里,臺南市南區大恩里機場路775號,22.9482442,120.2161291,1,3701.0,航空警察局高雄分局,,航空,臺南市
A1,三舍里,臺南市新市區大順三路6號,23.09775191,120.2890501,2,1690.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A2,三舍里,臺南市新市區大順三路111-119號,23.10064603,120.2888404,2,3032.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A3,三舍里,臺南市新市區大順五路1號,23.10263166,120.2885334,1,5177.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A4,三舍里,臺南市新市區大順三路12號,23.10171391,120.2886166,2,8869.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A5,三舍里,臺南市新市區大順三路125號,23.10212398,120.2879138,2,2695.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A6,三舍里,臺南市新市區大順六路12巷6號,23.10710264,120.2907492,1,2862.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A7,豐華里,臺南市新市區南科三路22號,23.10114944,120.2820868,1,12826.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A9,豐華里,臺南市新市區南科三路1-17號,23.09889828,120.284647,1,4671.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A10,豐華里,臺南市新市區南科三路17-27號,23.09801111,120.2817635,1,7672.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A11,豐華里,臺南市新市區環東路一段31巷2-30號,23.09754213,120.2850498,1,9565.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A12,豐華里,臺南市新市區南科二路5-15號,23.09674541,120.2873327,1,3068.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A13,豐華里,臺南市新市區創業路2-30號,23.09689106,120.2848569,1,9842.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A14,豐華里,臺南市新市區南科二路18號,23.09560781,120.2789636,1,2168.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A15,豐華里,臺南市新市區南科三路57號,23.09771996,120.274959,1,11045.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A16,豐華里,臺南市新市區南科一路3號,23.09321074,120.2825362,1,3248.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A17,南關里,臺南市善化區南科北路1號,23.11212949,120.2753849,2,6786.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A18,南關里,臺南市善化區南科北路1號,23.11212949,120.2753849,1,3469.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A19,南關里,臺南市善化區南科北路1號之1,23.11212949,120.2753849,2,10243.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A20,南關里,臺南市善化區三抱竹路1號,23.10826951,120.267789,1,4282.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A21,豐華里,臺南市新市區大利一路9號,23.11046064,120.2788533,1,3897.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A22,南關里,臺南市善化區環東路二段28號,23.11957739,120.2781559,1,826.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A23,社內里,臺南市新市區大業一路8號,23.08849628,120.287768,2,2971.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A24,蘇林里,臺南市安定區蘇林里1鄰北園二路8號,23.11719566,120.2661421,2,13713.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A25,三舍里,臺南市新市區大順七路92號,23.10581579,120.2872555,1,978.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A26,頂街里,臺南市善化區頂街里5鄰西善一路9號,23.12508626,120.2747234,1,6143.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A27,蘇林里,臺南市安定區蘇林里1鄰北園二路8號,23.11719566,120.2661421,1,2430.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A28,蘇林里,臺南市安定區蘇林里1鄰北園二路8號,23.11719566,120.2661421,2,3036.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A29,南關里,臺南市善化區南關里9鄰環東路二段30號,23.11580933,120.2803081,3,11142.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A30,蘇林里,臺南市安定區蘇林里1鄰北園二路8號,23.11719566,120.2661421,2,10332.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
A8,豐華里,臺南市新市區南科三路6號,23.0998576,120.2843194,1,1514.0,保安警察第二總隊一大二中,南科(南科分隊),保二,臺南市
A36,蘇林里,臺南市安定區蘇林里1鄰北園三路8號,23.12323815110141,120.26370504408048,3,6571.0,保安警察第二總隊一大二中,南科(西拉雅分隊),保二,臺南市
